Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start time [UTC],Cast,Cast Flag,Bottom depth at start positioning [m],CTD file,CTD file flag,Niskin/ Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,"CTD Salinity 1, uncorrected [psu]","CTD salinity 2, uncorrected [psu]","CTD Oxygen, uncorrected [mL/L]",CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescense [mg/m ^ 3],CTD Fluorescense Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Beam Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Flourescence Flag,Discrete Flourescence Duplicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Duplicate Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete DIC Duplicate Flag,Discrete pCO2 [µatm],Discrete pCO2 Flag,Discrete pCO2 Duplicate Flag,Discrete pH,pH Analysis Temp [C],Discrete pH Flag,Discrete pH Duplicate Flag,Calculated Alkalinity [µmol/kg],Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated pH,Calculated Omega-C,Calculated Omega-A,Calculated Carbon Flag,Calculated Carbon Duplicate Flag
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,8,0000000000000100,2019-07-07T09:58:11.000Z,909.959,0000000001000100,900.529,45.82961,-129.74638,3.5915,0000000000000100,3.5871,0000000000000100,3.203191,0000000000000100,3.203030,0000000000000100,34.3265,34.3293,0.2042,0000000011000100,7.35039,0.019900,0000000001000100,0.0253,99.3691,0000000001000100,-9999999,0000000001000100,0.007164,0000000000000100,0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,9,0000000000000100,2019-07-07T09:58:35.000Z,909.600,0000000001000100,900.174,45.82961,-129.74638,3.6046,0000000000000100,3.6044,0000000000000100,3.204209,0000000000000100,3.204380,0000000000000100,34.3252,34.3274,0.2023,0000000011000100,7.34811,0.026600,0000000001000100,0.0255,99.3644,0000000001000100,-9999999,0000000001000100,0.039599,0000000000000100,0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,9,0000000000000100,2019-07-07T09:58:35.000Z,909.600,0000000001000100,900.174,45.82961,-129.74638,3.6046,0000000000000100,3.6044,0000000000000100,3.204209,0000000000000100,3.204380,0000000000000100,34.3252,34.3274,0.2023,0000000011000100,7.34811,0.026600,0000000001000100,0.0255,99.3644,0000000001000100,-9999999,0000000001000100,-0.006245,0000000000000100,0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,10,0000000000000100,2019-07-07T10:02:36.000Z,757.722,0000000001000100,750.143,45.82960,-129.74638,3.9163,0000000000000100,3.9161,0000000000000100,3.218107,0000000000000100,3.218262,0000000000000100,34.2430,34.2450,0.2616,0000000001000100,7.29665,0.026400,0000000011000100,0.0251,99.3761,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,0.0017,0.0117,1.1304,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,13,0000000000000100,2019-07-07T10:09:01.000Z,504.972,0000000001000100,500.224,45.82960,-129.74637,4.6169,0000000000000100,4.6186,0000000000000100,3.251565,0000000010000100,3.437925,0000000010000100,34.0419,34.0435,0.9178,0000000001000100,7.18414,0.022000,0000000001000100,0.0267,99.3346,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,33.4977,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,14,0000000000000100,2019-07-07T10:14:27.000Z,252.571,0000000001000100,250.348,45.82960,-129.74638,6.6492,0000000000000100,6.6465,0000000000000100,3.408005,0000000010000100,3.437925,0000000010000100,33.8965,33.8979,3.2611,0000000001000100,6.85540,0.006800,0000000011000100,0.0371,99.0760,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,0.0041,0.0294,1.1228,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,33.8974,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,16,0000000000000100,2019-07-07T10:20:07.000Z,100.901,0000000001000100,100.050,45.82960,-129.74636,8.4215,0000000000000100,8.4373,0000000000000100,3.424291,0000000010000100,3.437925,0000000010000100,32.4529,32.4509,6.2561,0000000001000100,6.64684,0.195600,0000000001000100,0.0455,98.8689,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,32.4587,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,18,0000000000000100,2019-07-07T10:23:27.000Z,76.007,0000000001000100,75.371,45.82960,-129.74638,9.1437,0000000000000100,9.1401,0000000000000100,3.479897,0000000010000100,3.437925,0000000010000100,32.3836,32.3839,6.4776,0000000011000100,6.54360,0.471200,0000000011000100,0.0623,98.4545,0000000001000100,-9999999,0000000001000100,6.633696,0000000000000100,0000000000001000,0.1641,0.1152,1.5924,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,32.4667,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,18,0000000000000100,2019-07-07T10:23:27.000Z,76.007,0000000001000100,75.371,45.82960,-129.74638,9.1437,0000000000000100,9.1401,0000000000000100,3.479897,0000000000000100,3.479605,0000000000000100,32.3836,32.3839,6.4776,0000000011000100,6.54360,0.471200,0000000001000100,0.0623,98.4545,0000000001000100,-9999999,0000000001000100,6.605962,0000000000000100,0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,19,0000000000000100,2019-07-07T10:23:42.000Z,76.151,0000000001000100,75.513,45.82960,-129.74639,9.1350,0000000000000100,9.1343,0000000000000100,3.479182,0000000000000100,3.479132,0000000000000100,32.3841,32.3842,6.4803,0000000001000100,6.54485,0.478500,0000000001000100,0.0627,98.4450,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,0.8172,4.0251,4.9340,0.2194,0.5664,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,20,0000000000000100,2019-07-07T10:25:35.000Z,61.223,0000000001000100,60.712,45.82960,-129.74638,9.9938,0000000000000100,10.0363,0000000000000100,3.554547,0000000010000100,3.437925,0000000010000100,32.3870,32.3892,6.5241,0000000001000100,6.42231,1.106200,0000000001000100,0.0854,97.8873,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,0.7343,3.0638,3.2522,0.1115,0.5267,0000000010000100,0000000010000100,32.4313,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,21,0000000000000100,2019-07-07T10:26:00.000Z,61.225,0000000001000100,60.714,45.82960,-129.74638,10.0096,0000000000000100,10.0202,0000000000000100,3.556194,0000000000000100,3.557278,0000000000000100,32.3895,32.3910,6.5300,0000000001000100,6.41999,1.026100,0000000001000100,0.0852,97.8937,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,0.7056,2.4680,3.1908,0.1119,0.5318,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,22,0000000000000100,2019-07-07T10:28:07.000Z,41.314,0000000001000100,40.971,45.82960,-129.74638,12.1875,0000000000000100,12.2081,0000000000000100,3.750290,0000000010000100,3.437925,0000000010000100,32.3942,32.3946,6.6291,0000000001000100,6.12751,3.584600,0000000011000100,0.2618,93.6639,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,0.7135,0.2317,1.7610,0000000000000100,0000000000000100,0.5598,1.4823,1.3220,0.0853,0.0224,0000000010000100,0000000010000100,32.3963,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,23,0000000000000100,2019-07-07T10:28:28.000Z,41.244,0000000001000100,40.902,45.82960,-129.74638,12.2605,0000000000000100,12.2660,0000000000000100,3.756876,0000000000000100,3.757387,0000000000000100,32.3943,32.3945,6.6060,0000000001000100,6.11813,3.589700,0000000001000100,0.2697,93.4805,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,0.5581,1.2307,1.2767,0.1084,0.0351,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82967,-129.74633,2019-07-07T08:16:59.995Z,CTD-014,0000000000000100,2609,AT4212_CTD-014,0000000000000100,24,0000000000000100,2019-07-07T10:30:42.000Z,21.638,0000000001000100,21.460,45.82962,-129.74638,14.6080,0000000000000100,14.6092,0000000000000100,3.970677,0000000000000100,3.970848,0000000000000100,32.4055,32.4060,6.2803,0000000001000100,5.82974,2.447200,0000000001000100,0.2718,93.4318,0000000001000100,-9999999,0000000001000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,0.5023,1.2027,0.4372,0.0648,0.0300,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,Oregon Offshore Deep Profiler,CE04OSPD,44.36820,-124.95212,2019-07-09T03:55:00.000Z,CTD-015,0000001000000001,576,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,Slope Base Shallow Profiler,RS01SBPS,44.51531,-125.39000,2019-06-19T05:08:00.000Z,J2-1160,0000000000000100,2900,AT4212_J2-1160_20190619_0500.CT2,-9999999,FORWARD,0000000000000100,2019-06-19T05:08:00.000Z,2949.916306,0000000000000100,-9999999,-9999999,-9999999,1.7191,0000000000000100,-9999999,-9999999,3.148907,0000000010000100,-9999999,-9999999,34.6537,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.765756,-9999999,-9999999,0.0023,0.0159,1.1290,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.6506,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,Slope Base Shallow Profiler,RS01SBPS,44.51531,-125.39000,2019-06-19T05:10:00.000Z,J2-1160,0000000000000100,2900,AT4212_J2-1160_20190619_0500.CT2,-9999999,AFT,0000000000000100,2019-06-19T05:10:00.000Z,2949.926058,0000000000000100,-9999999,-9999999,-9999999,1.7190,0000000000000100,-9999999,-9999999,3.148900,0000000010000100,-9999999,-9999999,34.6537,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.771704,-9999999,-9999999,0.0012,0.0164,1.0667,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.6490,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,Oregon Offshore BEP (600m) ,CE040SBP ,44.36949,-124.95367,2019-06-19T13:47:19.000Z,J2-1161,0000000000000100,578,AT4212_J2-1161_20190619_1300.CT2,-9999999,FORWARD,0000000000000100,2019-06-19T13:47:19.000Z,581.944562,0000000000000100,-9999999,-9999999,-9999999,5.0449,0000000000000100,-9999999,-9999999,3.303720,0000000010000100,-9999999,-9999999,34.1686,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.136024,0000000000000100,0000000000000100,0.1647,1.7668,1.0860,0000000000000100,0000000000000100,3.2565,82.0084,41.6467,0.1945,0.0000,0000000010000100,0000000010000100,34.1605,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,2359.881674,0000000000000100,0000000000000100,1024.57,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2384.67,53.59,2254.71,51.59,7.65,1.065,0.69,0000000000000100,0000000000000100
AT4212,Oregon Offshore BEP (600m) ,CE040SBP ,44.36949,-124.95367,2019-06-19T13:47:36.000Z,J2-1161,0000000000000100,578,AT4212_J2-1161_20190619_1300.CT2,-9999999,AFT,0000000000000100,2019-06-19T13:47:36.000Z,581.9428678,0000000000000100,-9999999,-9999999,-9999999,5.0453,0000000000000100,-9999999,-9999999,3.303750,0000000010000100,-9999999,-9999999,34.1685,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.900403,0000000000000100,0000000000000100,0.1158,1.3909,1.0775,0000000000000100,0000000000000100,3.2226,82.6471,41.7882,0.1920,0.0122,0000000010000100,0000000010000100,34.1611,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,2360.616823,0000000000000100,0000000000000100,1148.03,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2370.67,60.04,2254.54,46.03,7.6,0.95,0.616,0000000000000100,0000000000000100
AT4212,Oregon Shelf BEP (80m),CE02SHBP,44.63706,-124.30597,2019-06-20T04:47:01.000Z,J2-1163,0000000000000100,80,AT4212_J2-1163_20190620_0400.CT2,-9999999,FORWARD,0000000000000100,2019-06-20T04:47:01.000Z,78.89432231,0000000000000100,-9999999,-9999999,-9999999,7.4882,0000000000000100,-9999999,-9999999,3.480127,0000000010000100,-9999999,-9999999,33.9452,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.933246,0000000000000100,0000000000000100,0.0483,0.3436,1.1243,0000000000000100,0000000000000100,2.2859,43.1545,32.1308,0.2628,0.2943,0000000010000100,0000000010000100,33.9400,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,2265.905106,0000000000000100,0000000000000100,1073.05,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2292.42,51.56,2162.85,51.49,7.644,1.178,0.762,0000000000000100,0000000000000100
AT4212,Oregon Shelf BEP (80m),CE02SHBP,44.63706,-124.30597,2019-06-20T04:48:04.000Z,J2-1163,0000000000000100,80,AT4212_J2-1163_20190620_0400.CT2,-9999999,AFT,0000000000000100,2019-06-20T04:48:04.000Z,78.90428099,0000000000000100,-9999999,-9999999,-9999999,7.4876,0000000000000100,-9999999,-9999999,3.480076,0000000010000100,-9999999,-9999999,33.9452,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.940834,0000000000000100,0000000000000100,0.0384,0.2579,1.1307,0000000000000100,0000000000000100,2.2827,42.1562,32.1302,0.2625,0.2911,0000000010000100,0000000010000100,33.9771,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,2264.898368,0000000000000100,0000000000000100,1039.32,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2295.45,49.94,2161.84,53.11,7.658,1.215,0.786,0000000000000100,0000000000000100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
